climber_name,route_name,date
Mirit Heyden,New Base Line,Sep-18
Nalle Hukkataival,Burden of Dreams,Oct-16
Nalle Hukkataival,Gioia,Feb-14
Nalle Hukkataival,Sleepwalker,Feb-19
Nathan Williams,Sleepwalker,Dec-20
Nathaniel Coleman,Grand Illusion,2020
Niccolò Ceria,Ephyra,Nov-20
Niccolò Ceria,Gioia,Dec-20
Niccolò Ceria,La Révolutionnaire Assis,Mar-22
Niccolò Ceria,Off the Wagon Low,Feb-23
Nico Pelorson,No Kpote Only,Oct-20
Nico Pelorson,Soudain Seul,Mar-21
Nolwen Berthier,Super Crackinette,Apr-22
Oriane Bertone,Golden Show,Jan-18
Oriane Bertone,Satan i Helvete (Bas),May-20
Oriane Bertone,Super Tanker,Jan-21
Pablo Hammack,Sleepwalker,Dec-20
Rustam Gelmanov,Hypnotized Minds,Jun-16
Ryohei Kameyama,La Révolutionnaire Assis,Mar-19
Ryohei Kameyama,No Kpote Only,Mar-19
Ryuichi Murai,Floatin,Dec-21
Ryuichi Murai,Gakidō,Nov-22
Ryuichi Murai,Nexus,Oct-21
Ryuichi Murai,Sleepwalker,Feb-23
Ryuichi Murai,United,Nov-19
Sean Bailey,Bibliographie,Sep-21
Sean Bailey,Box Therapy,Oct-20
Sean Bailey,Grand Illusion,Nov-20
Seb Bouin,Change,Aug-22
Seb Bouin,Dna,Apr-22
Seb Bouin,Move,Aug-19
Seb Bouin,Suprême Jumbo Love,Nov-22
Seo Chae-Hyun,La Rambla Extension,Nov-22
Sergii Topishko,Off the Wagon Low,Dec-21
Shauna Coxsey,New Base Line,Jul-14
Shawn Raboutou,Alphane,Apr-22
Shawn Raboutou,Big Z,Dec-20
Shawn Raboutou,Creature from the Black Lagoon,Sep-18
Shawn Raboutou,Fuck the System,Jul-21
Shawn Raboutou,Insomniac,Sep-22
Shawn Raboutou,Megatron,2022
Shawn Raboutou,Off the Wagon Low,Oct-18
Shawn Raboutou,The Story of Three Worlds,2022
Shinichiro Nomura,Gakidō,Mar-22
Shinichiro Nomura,Hydrangea,2018
Siara Fabbri,New Base Line,Nov-22
Simon Lorenzi,Alphane,Dec-22
Simon Lorenzi,Big Conviction,Jan-22
Simon Lorenzi,La Révolutionnaire Assis,Feb-22
Simon Lorenzi,Off the Wagon Low,Nov-21
Simon Lorenzi,Soudain Seul,Feb-21
Staša Gejo,Mécanique Élémentaire,Nov-22
Stefano Ghisolfi,Bibliographie,Aug-21
Stefano Ghisolfi,Change,Sep-20
Stefano Ghisolfi,Excalibur,Feb-23
Stefano Ghisolfi,Perfecto Mundo,Dec-18
Taylor McNeill,Moonlight Sonata,Oct-21
Tim Reuser,La Révolutionnaire Assis,Feb-23
Tomoko Ogawa,Catharsis,Oct-12
Toru Nakajima,Epitaph,Apr-22
Will Bosi,Alphane,Oct-22
Will Bosi,Burden of Dreams,Apr-23
Will Bosi,Ephyra,Nov-22
Will Bosi,Honey Badger,Aug-22
Will Bosi,Isles of Wonder SDS,May-23
Yannick Flohé,Ephyra,Jan-23
Yannick Flohé,Off the Wagon Low,Jan-22
Yannick Flohé,Return of the Dreamtime,Jan-23
Yuta Imaizumi,Nayuta,Oct-22
Zach Galla,Grand Illusion,Nov-21
